mean,std,rms,peak,kurtosis,skewness,crest_factor,peak_to_peak,fft_mean,fft_std,fft_peak,label
-0.004562154136156041,0.06644467551718397,0.06660111226508092,0.21137456399192525,-0.1802250438010553,-0.277954903718648,3.1737392437719905,0.4030449230769231,1.1130778431947048,2.8085606855773997,40.18785250489995,Normal
-0.0022884705424060406,0.0650410017385473,0.0650812492548904,0.20991425629961757,-0.08625860232530513,-0.22581253275777843,3.2254183559837273,0.4017932307692308,1.1028618214616368,2.7329226148543686,37.591026008789015,Normal
-0.002968304076059887,0.06298748773798006,0.06305739005564806,0.20991425629961757,-0.016090303029067776,-0.2723655206919202,3.3289398083471986,0.4017932307692308,1.086951459258562,2.64195154815454,34.22489987747125,Normal
-0.0026193215039445024,0.06363986101944366,0.06369374188815673,0.19489394860730988,-0.1919454391238462,-0.2005133840509852,3.0598602393866052,0.38719015384615385,1.0804349853915127,2.674925570713542,34.02801657958421,Normal
-0.0017483930183675792,0.0630515083827848,0.06307574484293513,0.19876328216192085,-0.19360704610542667,-0.21051940062189,3.1511840619836167,0.3915710769230769,1.070150131230496,2.6474721410662996,35.61288974449843,Normal
-0.0016287040159637333,0.06304265377607439,0.06306368901278772,0.19876328216192085,0.04151998113297495,-0.16724173471840756,3.151786471077486,0.39595199999999997,1.0884216930506943,2.6392661559632025,35.116072657237254,Normal
-0.0011458734871175793,0.06427317028542971,0.06428338389186061,0.2092884101457714,0.10603251343755993,-0.09658415800491009,3.2557155076383495,0.3976209230769231,1.0755284151480176,2.7035136374539865,36.35935228778716,Normal
-2.2324809232963894e-05,0.06390981858257391,0.06390982248179554,0.2092884101457714,0.0036693495326378667,-0.14390411861240715,3.274745597641299,0.40826030769230764,1.0623406179301849,2.6900590890684266,35.256428542729076,Normal
-0.00025467426836757917,0.06360672527479536,0.0636072351165043,0.24037210245346372,-0.0319156230354074,-0.22565798085980457,3.7790056686993663,0.43934399999999996,1.0694499763603482,2.6725216320836944,35.44564428713034,Normal
-0.0004912001097137331,0.06202813531361424,0.06203008018721095,0.24037210245346372,-0.08114440256517641,-0.23682965294218117,3.875089333118636,0.4147273846153846,1.0511405029482739,2.603027060053641,33.514424335828785,Normal
0.0003009882917285743,0.06580385459582336,0.06580454295578703,0.22493456399192527,-0.11845655040875158,-0.0362971239545824,3.4182224136292962,0.4159790769230769,1.1669865942631181,2.7398262609325834,34.52572595667293,Normal
-0.0009121998092329638,0.06519030463679458,0.06519668647354745,0.22493456399192527,0.1109386782569377,-0.10821183165864831,3.4500919573294544,0.4159790769230769,1.0954325360767803,2.739886227447487,32.369608122925456,Normal
-0.0011013593645214253,0.06183223031930125,0.06184203828067875,0.2241001024534637,0.1369804643898771,-0.30610331104421384,3.623750256645471,0.3873987692307692,1.037644669423145,2.5996586504309405,31.34339692438934,Normal
-0.0004287581025021948,0.06739860220523243,0.06739996596979574,0.2241001024534637,-0.1766121833357408,-0.14511102766304618,3.3249290099255817,0.41159815384615384,1.1409158221238567,2.8288243301716447,43.3825057014771,Normal
